Datetime,sentiment
2022-05-29 11:20:02+00:00,Positive
2022-05-29 11:20:00+00:00,Positive
2022-05-29 11:11:53+00:00,Neutral
2022-05-29 11:09:02+00:00,Neutral
2022-05-29 11:08:09+00:00,Neutral
2022-05-29 11:02:12+00:00,Positive
2022-05-29 11:00:27+00:00,Neutral
2022-05-29 11:00:02+00:00,Positive
2022-05-29 11:00:00+00:00,Positive
2022-05-29 10:48:52+00:00,Neutral
2022-05-29 10:48:26+00:00,Neutral
2022-05-29 10:40:02+00:00,Neutral
2022-05-29 10:40:02+00:00,Positive
2022-05-29 10:40:00+00:00,Positive
2022-05-29 10:27:02+00:00,Neutral
2022-05-29 10:20:02+00:00,Positive
2022-05-29 10:20:00+00:00,Positive
2022-05-29 10:10:49+00:00,Neutral
2022-05-29 10:00:00+00:00,Positive
2022-05-29 09:57:40+00:00,Neutral
2022-05-29 09:47:52+00:00,Neutral
2022-05-29 09:45:02+00:00,Neutral
2022-05-29 09:41:30+00:00,Neutral
2022-05-29 09:40:00+00:00,Positive
2022-05-29 09:36:51+00:00,Neutral
2022-05-29 09:22:29+00:00,Neutral
2022-05-29 09:20:02+00:00,Positive
2022-05-29 09:20:00+00:00,Positive
2022-05-29 09:19:16+00:00,Neutral
2022-05-29 09:17:32+00:00,Neutral
2022-05-29 09:09:44+00:00,Neutral
2022-05-29 09:03:22+00:00,Neutral
2022-05-29 09:03:01+00:00,Neutral
2022-05-29 09:00:12+00:00,Neutral
2022-05-29 09:00:04+00:00,Neutral
2022-05-29 09:00:02+00:00,Positive
2022-05-29 09:00:00+00:00,Positive
2022-05-29 08:50:46+00:00,Neutral
2022-05-29 08:42:02+00:00,Neutral
2022-05-29 08:40:13+00:00,Neutral
2022-05-29 08:40:02+00:00,Positive
2022-05-29 08:40:00+00:00,Positive
2022-05-29 08:25:20+00:00,Neutral
2022-05-29 08:20:42+00:00,Neutral
2022-05-29 08:20:00+00:00,Positive
2022-05-29 08:00:02+00:00,Neutral
2022-05-29 08:00:01+00:00,Neutral
2022-05-29 08:00:00+00:00,Positive
2022-05-29 07:48:36+00:00,Neutral
2022-05-29 07:44:34+00:00,Neutral
2022-05-29 07:43:52+00:00,Neutral
2022-05-29 07:41:50+00:00,Neutral
2022-05-29 07:41:13+00:00,Positive
2022-05-29 07:40:00+00:00,Positive
2022-05-29 07:39:01+00:00,Neutral
2022-05-29 07:37:14+00:00,Positive
2022-05-29 07:34:14+00:00,Neutral
2022-05-29 07:33:55+00:00,Negative
2022-05-29 07:29:37+00:00,Neutral
2022-05-29 07:20:00+00:00,Positive
2022-05-29 07:19:48+00:00,Neutral
2022-05-29 07:18:50+00:00,Positive
2022-05-29 07:11:38+00:00,Neutral
2022-05-29 07:00:04+00:00,Neutral
2022-05-29 07:00:02+00:00,Positive
2022-05-29 07:00:00+00:00,Positive
